Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Detroit Mercy,NA,Notre Dame,70,78,-8
NA,Seton Hall,NA,Penn St.,98,92,6
NA,California,46,UCLA,56,76,-20
NA,Wofford,NA,Richmond,72,77,-5
NA,Fairfield,34,Hartford,54,67,-13
NA,George Washington,NA,UMBC,81,92,-11
NA,UNCW,NA,East Carolina,78,88,-10
NA,N.C. Central,NA,Coastal Carolina,71,78,-7
NA,South Carolina St.,NA,Charlotte,40,78,-38
NA,Hampton,17,Norfolk St.,64,76,-12
15,Eastern Wash.,7,Oregon,52,69,-17
NA,Bethesda (CA),NA,CSU Bakersfield,43,94,-51
NA,Adrian,NA,Western Mich.,42,62,-20
NA,Columbia Int'l,NA,The Citadel,57,96,-39
NA,Fla. Atlantic,NA,North Florida,79,77,2
66,Morehead St.,NA,Eastern Ky.,68,71,-3
NA,Chattanooga,NA,Middle Tenn.,80,70,10
NA,Lipscomb,NA,Southeast Mo. St.,77,82,-5
NA,LMU (CA),13,UC Santa Barbara,58,69,-11
NA,Lewis,NA,Bradley,62,95,-33
NA,Northern Ariz.,NA,Arizona,53,96,-43
NA,Fla. National,NA,New Orleans,57,74,-17
NA,Morgan St.,50,Iona,83,72,11
NA,Delaware,NA,UMBC,61,76,-15
NA,Lincoln (PA),NA,La Salle,62,80,-18
5,Creighton,3,Kansas,72,73,-1
22,Purdue,NA,Miami (FL),54,58,-4
NA,Stetson,NA,South Fla.,62,73,-11
NA,Wagner,NA,Seton Hall,45,78,-33
NA,Truman,NA,Indiana St.,66,80,-14
NA,Greensboro,NA,VMI,65,100,-35
39,Colorado,57,Tennessee,47,56,-9
NA,N.C. A&T,NA,Longwood,60,77,-17
NA,Idaho St.,NA,Utah,59,75,-16
NA,Coppin St.,47,Georgetown,48,80,-32
NA,Northern Ky.,NA,Dayton,60,66,-6
NA,Rider,NA,St. John's (NY),79,82,-3
NA,Campbell,NA,Jacksonville,80,78,2
NA,Ball St.,NA,Northern Ill.,79,70,9
NA,Kent St.,NA,Detroit Mercy,80,66,14
NA,Carver,NA,Charleston So.,59,94,-35
NA,William Carey,NA,South Alabama,67,80,-13
NA,Saint Francis (PA),51,Mount St. Mary's,57,75,-18
NA,Boston College,NA,Minnesota,80,85,-5
NA,Bryant,NA,St. Francis Brooklyn,101,82,19
NA,LSU-Alexandria,NA,Louisiana,75,90,-15
NA,Central Conn. St.,NA,Fairleigh Dickinson,94,87,7
NA,Montana,NA,Georgia,50,63,-13
NA,Tennessee St.,NA,Belmont,64,79,-15
26,North Carolina,2,Iowa,80,93,-13
20,Ohio St.,NA,Notre Dame,90,85,5
NA,Fort Hays St.,NA,Kansas St.,81,68,13
33,Oral Roberts,56,Oklahoma St.,78,83,-5
NA,Mississippi Val.,NA,Memphis,57,94,-37
NA,Central Ark.,NA,Saint Louis,65,88,-23
NA,Austin Peay,NA,Murray St.,57,87,-30
NA,Penn St.,28,Virginia Tech,75,55,20
NA,Jackson St.,NA,Mississippi St.,59,82,-23
NA,Green Bay,NA,Marquette,68,82,-14
NA,Col. of Idaho,29,Utah St.,64,90,-26
NA,Westminster (UT),NA,Weber St.,73,85,-12
53,Illinois,NA,Duke,83,68,15
63,Syracuse,62,Rutgers,69,79,-10
NA,UTEP,NA,Saint Mary's (CA),61,73,-12
NA,UC Irvine,6,Southern California,56,91,-35
NA,Northwest (WA),NA,Portland St.,48,88,-40
NA,Mars Hill,NA,Radford,50,98,-48
NA,New Orleans,NA,Campbell,70,79,-9
NA,Chicago St.,60,Loyola Chicago,51,88,-37
NA,Central Conn. St.,NA,Fairleigh Dickinson,71,79,-8
NA,Bryant,NA,St. Francis Brooklyn,91,93,-2
NA,Rhode Island,27,Wisconsin,62,73,-11
NA,Providence,NA,TCU,79,70,9
44,Maryland,59,Clemson,51,67,-16
NA,Furman,NA,Cincinnati,73,78,-5
NA,Western Ill.,NA,Miami (OH),57,67,-10
NA,UNI,NA,Richmond,68,78,-10
NA,Transylvania,66,Morehead St.,55,77,-22
NA,Toledo,35,Michigan,71,91,-20
NA,CSU Bakersfield,NA,Arizona,60,85,-25
NA,Ark.-Pine Bluff,NA,Arkansas St.,75,74,1
NA,Chattanooga,NA,Bellarmine,77,68,9
NA,Adrian,NA,Eastern Mich.,35,95,-60
NA,Fla. National,NA,Jacksonville,69,78,-9
NA,St. Andrews,NA,UNCW,66,116,-50
NA,Point Park,NA,Youngstown St.,52,72,-20
NA,N.C. A&T,10,VCU,59,95,-36
NA,SIUE,NA,Valparaiso,58,80,-22
NA,Carver,NA,The Citadel,51,102,-51
NA,Eastern Ill.,NA,Evansville,65,68,-3
NA,Stony Brook,NA,Hofstra,67,72,-5
NA,Marshall,NA,Col. of Charleston,84,72,12
49,Abilene Christian,24,Texas Tech,44,51,-7
NA,Lamar University,NA,ULM,63,60,3
NA,Indiana,38,Florida St.,67,69,-2
61,Georgia Tech,NA,Nebraska,75,64,11
NA,Tuskegee,NA,UAB,64,89,-25
NA,Southeastern La.,NA,Louisiana Tech,69,78,-9
NA,Southern U.,21,Arkansas,44,79,-35
NA,Arlington Baptist,NA,Tarleton St.,43,84,-41
NA,McKendree,12,Drake,66,90,-24
8,Oklahoma,NA,Xavier,77,99,-22
NA,SFA,19,Baylor,52,83,-31
NA,Fresno Pacific,NA,San Jose St.,79,87,-8
NA,Southern Miss.,NA,Tulane,38,58,-20
NA,Southern Utah,NA,Utah Valley,81,71,10
NA,Southeast Mo. St.,NA,Lipscomb,74,80,-6
NA,Texas St.,37,Texas,53,74,-21
65,Liberty,9,Missouri,60,69,-9
NA,Colo. Christian,NA,Northern Colo.,62,87,-25
NA,Santa Clara,NA,Cal Poly,76,69,7
NA,California,NA,Pepperdine,62,74,-12
NA,Idaho,NA,Washington St.,58,61,-3
NA,San Diego,46,UCLA,56,83,-27
NA,Boise St.,40,BYU,74,70,4
NA,Denver,NA,Wyoming,61,83,-22
NA,Pittsburgh,NA,Northwestern,71,70,1
NA,Seattle U,NA,Washington,41,73,-32
NA,Florida A&M,7,Oregon,66,87,-21
NA,Fla. National,NA,Campbell,92,122,-30
NA,Western Ill.,NA,Mt. St. Joseph,80,55,25
NA,Purdue Northwest,14,Ohio,72,92,-20
NA,Mercyhurst,NA,Buffalo,64,81,-17
NA,North Florida,NA,East Carolina,67,73,-6
NA,New Orleans,NA,Jacksonville,70,77,-7
NA,Transylvania,66,Morehead St.,55,81,-26
NA,North Dakota,NA,South Dakota,75,71,4
48,UNC Greensboro,NA,Coppin St.,80,85,-5
NA,UC Riverside,NA,Northern Ariz.,74,50,24
NA,Troy,NA,North Ala.,62,57,5
NA,LeTourneau,NA,Sam Houston St.,65,107,-42
NA,UTRGV,NA,A&M-Corpus Christi,68,64,4
NA,Kansas City,NA,Minnesota,61,90,-29
NA,Portland,64,Oregon St.,87,86,1
NA,Gardner-Webb,NA,Western Ky.,84,86,-2
NA,Jackson St.,NA,Ole Miss,45,80,-35
NA,Long Beach St.,NA,San Francisco,62,107,-45
NA,North Dakota St.,NA,South Dakota St.,75,77,-2
58,San Diego St.,NA,Arizona St.,80,68,12
NA,Hawaii Pacific,NA,Hawaii,50,83,-33
NA,Northeastern,NA,Massachusetts,79,94,-15
31,North Texas,55,West Virginia,50,62,-12
NA,St. John's (NY),NA,Seton Hall,68,77,-9
18,App State,NA,Charlotte,61,57,4
NA,Col. of Idaho,15,Eastern Wash.,56,80,-24
NA,Mt. St. Joseph,NA,Miami (OH),64,79,-15
NA,Rider,NA,Manhattan,82,64,18
NA,LeTourneau,52,Texas Southern,60,103,-43
NA,South Dakota St.,NA,North Dakota,74,62,12
23,Villanova,47,Georgetown,76,63,13
50,Iona,NA,Fairfield,70,42,28
NA,George Washington,NA,Delaware,65,68,-3
NA,Nebraska,5,Creighton,74,98,-24
NA,South Carolina St.,NA,Col. of Charleston,63,90,-27
NA,Omaha,3,Kansas,50,95,-45
NA,Marist,NA,Canisius,72,81,-9
NA,Ga. Southern,NA,Davidson,45,77,-32
NA,Hardin-Simmons,NA,UT Arlington,66,91,-25
NA,Murray St.,NA,Southern Ill.,66,70,-4
NA,Niagara,NA,Saint Peter's,54,70,-16
NA,Champion Chris.,NA,Houston Baptist,60,93,-33
NA,Milwaukee,NA,Kansas St.,75,76,-1
NA,Regis (CO),NA,Northern Colo.,58,83,-25
NA,Central Baptist,NA,Arkansas St.,69,81,-12
NA,Nevada,16,Grand Canyon,77,87,-10
NA,South Dakota,NA,North Dakota St.,67,74,-7
NA,Iowa St.,2,Iowa,77,105,-28
NA,Marquette,46,UCLA,60,69,-9
NA,San Jose St.,NA,Saint Mary's (CA),61,96,-35
25,Florida,38,Florida St.,71,83,-12
NA,Tennessee St.,NA,IUPUI,66,69,-3
NA,FGCU,NA,Miami (FL),66,62,4
NA,Wofford,NA,South Fla.,56,58,-2
NA,Kansas City,NA,Toledo,57,64,-7
NA,Notre Dame,NA,Kentucky,64,63,1
NA,Cincinnati,57,Tennessee,56,65,-9
NA,Stony Brook,NA,Bryant,72,81,-9
NA,Columbia Int'l,65,Liberty,26,73,-47
63,Syracuse,NA,Boston College,101,63,38
NA,McMurry,49,Abilene Christian,46,83,-37
NA,Cedarville,NA,Akron,49,97,-48
NA,Dalton St.,NA,Kennesaw St.,62,72,-10
NA,N.C. Central,26,North Carolina,67,73,-6
NA,North Georgia,NA,Chattanooga,63,81,-18
NA,Detroit Mercy,NA,Western Mich.,67,57,10
NA,Ark.-Pine Bluff,NA,Tulane,56,67,-11
NA,Flagler,NA,Furman,61,86,-25
NA,High Point,NA,UNC Asheville,67,80,-13
NA,La Salle,68,Drexel,58,48,10
NA,Texas A&M,NA,TCU,55,73,-18
NA,A&M-Corpus Christi,24,Texas Tech,57,77,-20
NA,Southwestern Christ.,33,Oral Roberts,58,111,-53
NA,Dixie St.,NA,Denver,73,70,3
NA,Dayton,NA,Mississippi St.,85,82,3
56,Oklahoma St.,11,Wichita St.,67,64,3
NA,South Alabama,NA,Southern Miss.,76,75,1
NA,Transylvania,NA,Eastern Ky.,60,81,-21
NA,Colorado St.-Pueblo,NA,Colorado St.,77,89,-12
NA,UAB,NA,ETSU,65,61,4
NA,Western Caro.,NA,N.C. A&T,104,98,6
30,Winthrop,NA,USC Upstate,95,77,18
NA,Idaho,NA,CSU Bakersfield,66,76,-10
NA,Gardner-Webb,NA,Pittsburgh,50,67,-17
NA,Wyoming,NA,Utah Valley,93,88,5
NA,Valparaiso,NA,Central Mich.,79,84,-5
NA,Western Ill.,NA,Eastern Ill.,88,92,-4
NA,FIU,NA,North Florida,77,80,-3
13,UC Santa Barbara,NA,LMU (CA),76,81,-5
NA,SFA,NA,ULM,55,66,-11
NA,Old Dominion,10,VCU,54,77,-23
NA,Florida A&M,8,Oklahoma,54,85,-31
NA,Our Lady of the Lake,NA,Texas St.,61,58,3
NA,UNCW,NA,Ole Miss,58,78,-20
NA,Covenant,NA,Middle Tenn.,57,76,-19
NA,Greensboro,NA,Coastal Carolina,45,103,-58
NA,Champion Chris.,NA,Northwestern St.,44,77,-33
NA,Auburn,NA,Memphis,74,71,3
NA,Fresno Pacific,NA,California Baptist,71,110,-39
NA,UTEP,NA,Arizona,61,69,-8
NA,Utah,40,BYU,64,82,-18
NA,Rider,NA,Manhattan,77,87,-10
NA,North Dakota,NA,North Dakota St.,52,53,-1
NA,Samford,NA,Georgia,75,79,-4
NA,Illinois St.,NA,Ball St.,66,82,-16
NA,Marist,NA,Canisius,56,52,4
NA,Louisiana Tech,NA,Louisiana,56,61,-5
50,Iona,NA,Fairfield,52,67,-15
NA,Carver,NA,McNeese,53,96,-43
NA,Indiana St.,22,Purdue,68,80,-12
7,Oregon,NA,Washington,74,71,3
NA,Belmont,NA,Lipscomb,81,71,10
36,Alabama,59,Clemson,56,64,-8
NA,Central Ark.,21,Arkansas,75,100,-25
NA,Niagara,NA,Saint Peter's,49,53,-4
53,Illinois,9,Missouri,78,81,-3
NA,South Dakota,NA,South Dakota St.,91,78,13
NA,CSUN,NA,Pepperdine,89,84,5
NA,Rhode Island,NA,Western Ky.,65,68,-3
NA,Oakland,45,Michigan St.,91,109,-18
NA,Wright St.,NA,Bowling Green,85,67,18
NA,Massachusetts,NA,Northeastern,75,78,-3
NA,North Ala.,NA,Indiana,52,87,-35
NA,Richmond,55,West Virginia,71,87,-16
NA,Hampton,NA,VMI,64,79,-15
NA,Youngstown St.,NA,Binghamton,79,65,14
NA,High Point,NA,UNC Asheville,84,90,-6
NA,Penn St.,35,Michigan,58,62,-4
17,Norfolk St.,48,UNC Greensboro,47,64,-17
NA,Air Force,12,Drake,53,81,-28
NA,Mississippi Val.,NA,Vanderbilt,41,84,-43
60,Loyola Chicago,NA,UIC,77,66,11
NA,Northern Ill.,2,Iowa,53,106,-53
NA,Northern Ky.,NA,Kent St.,73,92,-19
30,Winthrop,NA,USC Upstate,107,77,30
NA,Jacksonville,NA,South Carolina St.,60,58,2
14,Ohio,NA,Marshall,67,81,-14
NA,Milwaukee,NA,Western Mich.,71,63,8
NA,UMBC,NA,Coppin St.,66,49,17
NA,San Francisco,NA,California,70,72,-2
NA,Central Baptist,NA,Troy,44,61,-17
NA,New Mexico,NA,Rice,72,61,11
NA,Weber St.,NA,Boise St.,59,70,-11
NA,San Jose St.,NA,Cal Poly,71,75,-4
67,Cleveland St.,20,Ohio St.,61,67,-6
NA,Arizona St.,16,Grand Canyon,71,70,1
NA,Jacksonville St.,NA,Tennessee Tech,73,67,6
NA,Portland St.,NA,Washington St.,60,69,-9
NA,Mercer,NA,Ga. Southern,77,75,2
NA,San Diego Christian,NA,Cal St. Fullerton,70,94,-24
NA,St. John's (NY),47,Georgetown,94,97,-3
NA,Northwest (WA),NA,Seattle U,40,89,-49
NA,Sam Houston St.,42,LSU,66,88,-22
NA,St. Francis (IL),NA,Central Mich.,39,91,-52
NA,Eastern Ky.,66,Morehead St.,62,75,-13
62,Rutgers,44,Maryland,74,60,14
NA,Longwood,NA,Radford,66,67,-1
NA,Carver,NA,Presbyterian,46,85,-39
NA,Tex. A&M Int'l,NA,UTRGV,51,89,-38
NA,William & Mary,NA,George Washington,85,84,1
NA,Arlington Baptist,NA,McNeese,64,110,-46
NA,McKendree,NA,Austin Peay,68,82,-14
NA,Central Ark.,NA,Ole Miss,54,68,-14
NA,Northern Ariz.,NA,Colorado St.,52,91,-39
NA,Northern Colo.,39,Colorado,45,81,-36
NA,Marquette,5,Creighton,89,84,5
NA,Nevada,NA,San Diego,79,72,7
NA,Point Park,NA,Stony Brook,39,83,-44
43,St. Bonaventure,NA,Akron,81,74,7
NA,Houston Baptist,NA,Rice,79,90,-11
NA,Chicago St.,NA,Illinois St.,62,91,-29
NA,Quincy,NA,Northwestern,48,100,-52
NA,St. Francis Brooklyn,NA,Central Conn. St.,91,86,5
NA,Stanford,NA,CSUN,82,71,11
NA,Buffalo,NA,Miami (OH),90,62,28
NA,Longwood,NA,Radford,53,62,-9
NA,Carver,NA,Ga. Southern,27,92,-65
NA,Coastal Carolina,NA,Wofford,77,88,-11
59,Clemson,28,Virginia Tech,60,66,-6
52,Texas Southern,NA,Auburn,63,80,-17
NA,Camp. Harrodsburg,NA,VMI,72,106,-34
NA,Charlotte,NA,Davidson,63,52,11
11,Wichita St.,NA,Tulsa,69,65,4
NA,Fla. Atlantic,NA,Stetson,69,78,-9
NA,Hofstra,NA,Monmouth,96,88,8
NA,Gardner-Webb,NA,ETSU,60,65,-5
NA,Western Caro.,10,VCU,68,93,-25
NA,Our Lady of the Lake,NA,New Mexico,65,104,-39
NA,South Carolina St.,65,Liberty,52,82,-30
NA,USC Upstate,48,UNC Greensboro,57,65,-8
18,App State,57,Tennessee,38,79,-41
NA,Utah Valley,NA,Utah,67,75,-8
NA,Southeastern La.,NA,Texas A&M,52,69,-17
NA,Southeast Mo. St.,NA,Evansville,63,66,-3
NA,Minnesota,53,Illinois,65,92,-27
NA,New Orleans,NA,Louisiana,63,73,-10
NA,Arlington Baptist,NA,McNeese,50,114,-64
NA,Jackson St.,NA,Louisiana Tech,58,85,-27
NA,Trevecca Nazarene,NA,Lipscomb,45,61,-16
60,Loyola Chicago,27,Wisconsin,63,77,-14
NA,Southern Miss.,NA,Lamar University,66,63,3
NA,A&M-Corpus Christi,NA,Texas St.,46,51,-5
NA,Ark.-Pine Bluff,31,North Texas,56,81,-25
NA,Indiana St.,NA,Saint Louis,59,78,-19
NA,Bacone,33,Oral Roberts,65,96,-31
NA,Transylvania,NA,Murray St.,49,90,-41
NA,Col. of Idaho,NA,Portland,74,88,-14
NA,Florida A&M,NA,Austin Peay,76,70,6
61,Georgia Tech,38,Florida St.,61,74,-13
NA,Kansas St.,NA,Iowa St.,74,65,9
NA,Furman,36,Alabama,80,83,-3
NA,Fresno Pacific,NA,Santa Clara,65,88,-23
15,Eastern Wash.,NA,Saint Mary's (CA),75,80,-5
NA,Massachusetts,NA,La Salle,85,66,19
NA,St. Francis Brooklyn,NA,Central Conn. St.,59,78,-19
NA,Richmond,NA,Vanderbilt,78,67,11
NA,Campbell,NA,Elon,56,66,-10
NA,Northeastern,63,Syracuse,56,62,-6
NA,LIU,NA,Sacred Heart,75,55,20
NA,Wagner,NA,Bryant,62,74,-12
NA,Omaha,39,Colorado,49,91,-42
NA,UTSA,64,Oregon St.,61,73,-12
NA,Mercer,NA,Georgia St.,81,88,-7
NA,San Diego,NA,Cal Poly,70,61,9
NA,Pittsburgh,NA,Miami (FL),70,55,15
NA,Toledo,NA,Marshall,96,87,9
NA,William & Mary,NA,Hampton,75,58,17
NA,Butler,23,Villanova,66,85,-19
NA,Carver,65,Liberty,38,91,-53
NA,South Fla.,NA,Cincinnati,74,71,3
NA,Central Ark.,NA,Mississippi St.,65,81,-16
NA,Grambling,NA,ULM,78,61,17
NA,FIU,NA,FGCU,85,69,16
NA,UNC Asheville,NA,Chattanooga,66,69,-3
NA,Samford,NA,Troy,71,79,-8
20,Ohio St.,22,Purdue,60,67,-7
NA,TCU,56,Oklahoma St.,77,76,1
NA,Flagler,NA,South Alabama,81,103,-22
NA,Southern U.,NA,UAB,46,88,-42
NA,Kennesaw St.,NA,Belmont,53,64,-11
NA,Ole Miss,NA,Middle Tenn.,70,51,19
33,Oral Roberts,8,Oklahoma,65,79,-14
NA,East Carolina,NA,SMU,55,70,-15
NA,Hardin-Simmons,49,Abilene Christian,73,95,-22
NA,Sam Houston St.,37,Texas,63,79,-16
NA,Tennessee Tech,NA,Jacksonville St.,50,74,-24
NA,Duke,NA,Notre Dame,75,65,10
NA,Northern Colo.,NA,Denver,83,75,8
NA,Memphis,NA,Tulane,80,74,6
NA,UTEP,NA,Arizona St.,76,63,13
NA,Montana,NA,Washington,66,58,8
NA,North Dakota,NA,Southern Ill.,64,85,-21
NA,LIU,NA,Sacred Heart,72,87,-15
NA,Wagner,NA,Bryant,75,81,-6
NA,LeTourneau,NA,New Mexico,58,90,-32
NA,Saint Joseph's,68,Drexel,77,81,-4
NA,Delaware St.,NA,Coastal Carolina,73,99,-26
NA,Greensboro,18,App State,47,87,-40
NA,Purdue Northwest,NA,Valparaiso,71,89,-18
NA,Camp. Harrodsburg,NA,Eastern Ky.,54,118,-64
NA,Columbia Int'l,NA,ETSU,54,96,-42
NA,Doane,NA,Nebraska,64,110,-46
3,Kansas,24,Texas Tech,58,57,1
5,Creighton,NA,St. John's (NY),94,76,18
NA,Crowley's Ridge,NA,North Ala.,51,99,-48
NA,NC State,NA,Saint Louis,69,80,-11
NA,Houston Baptist,31,North Texas,55,85,-30
NA,Jackson St.,NA,Bradley,60,83,-23
NA,San Francisco,7,Oregon,64,74,-10
NA,Omaha,NA,Wyoming,78,82,-4
NA,SAGU American Indian,NA,Idaho St.,54,89,-35
NA,Col. of Idaho,NA,Seattle U,54,78,-24
NA,UC Irvine,NA,LMU (CA),48,51,-3
NA,Dixie St.,NA,Southern Utah,78,85,-7
NA,Seton Hall,NA,Marquette,70,63,7
NA,VMI,NA,Gardner-Webb,77,88,-11
NA,Carver,NA,Georgia St.,57,122,-65
NA,Central Mich.,NA,Western Mich.,61,76,-15
NA,Greensboro,NA,N.C. A&T,45,91,-46
NA,Fairfield,NA,Niagara,51,68,-17
NA,UNCW,17,Norfolk St.,80,72,8
NA,North Dakota,NA,Southern Ill.,50,62,-12
NA,Columbia Int'l,18,App State,41,77,-36
40,BYU,58,San Diego St.,72,62,10
NA,Hampton,NA,Howard,76,81,-5
NA,Saint Peter's,NA,Monmouth,76,78,-2
NA,Dickinson St.,NA,Montana,51,78,-27
NA,SIUE,66,Morehead St.,69,65,4
NA,South Carolina St.,NA,Presbyterian,56,62,-6
NA,Alice Lloyd,NA,Coastal Carolina,63,86,-23
60,Loyola Chicago,NA,Richmond,73,75,-2
12,Drake,NA,South Dakota,75,57,18
NA,Bowling Green,NA,Robert Morris,85,65,20
NA,Webber Int'l,NA,FGCU,39,112,-73
NA,Tennessee Tech,57,Tennessee,49,103,-54
NA,Western Caro.,NA,Col. of Charleston,76,70,6
NA,Emporia St.,11,Wichita St.,57,73,-16
NA,Chicago St.,NA,Northern Ill.,54,64,-10
NA,Belmont,NA,Tennessee St.,88,63,25
NA,Florida A&M,61,Georgia Tech,64,74,-10
50,Iona,NA,Rider,70,56,14
NA,Northwestern St.,NA,Tulsa,55,82,-27
NA,Davidson,NA,Rhode Island,67,58,9
NA,Champion Chris.,NA,Little Rock,50,78,-28
NA,UT Martin,NA,Southeast Mo. St.,69,67,2
NA,Iowa St.,55,West Virginia,65,70,-5
NA,Montana St.,NA,Washington St.,54,82,-28
NA,Idaho,NA,Utah,41,79,-38
NA,Bethesda (CA),NA,Southern Utah,64,98,-34
NA,Northern Colo.,29,Utah St.,50,63,-13
NA,SAGU American Indian,NA,Idaho St.,46,113,-67
NA,Air Force,NA,Nevada,57,74,-17
NA,Weber St.,NA,Portland St.,94,66,28
NA,Hawaii Hilo,NA,Hawaii,66,89,-23
NA,Indiana,NA,Butler,68,60,8
1,Gonzaga,2,Iowa,99,88,11
NA,Troy,NA,Auburn,41,77,-36
NA,Louisville,27,Wisconsin,48,85,-37
NA,The Citadel,NA,Longwood,91,89,2
48,UNC Greensboro,NA,Elon,71,64,7
NA,James Madison,NA,East Carolina,64,73,-9
NA,Ball St.,NA,Indiana St.,57,67,-10
NA,Malone,NA,Akron,83,93,-10
NA,Valparaiso,NA,Toledo,57,71,-14
NA,West Va. Tech,NA,Morgan St.,73,67,6
26,North Carolina,NA,Kentucky,75,63,12
NA,Western Ky.,36,Alabama,73,71,2
NA,Hofstra,43,St. Bonaventure,69,77,-8
NA,Marist,NA,Manhattan,61,39,22
NA,Texas St.,NA,Denver,70,68,2
NA,Grambling,NA,Tulane,65,77,-12
NA,Lamar University,NA,Louisiana Tech,57,86,-29
NA,Wright St.,NA,Detroit Mercy,93,70,23
NA,High Point,NA,William & Mary,71,49,22
NA,Milwaukee,NA,Green Bay,68,65,3
NA,Stony Brook,NA,Binghamton,73,59,14
NA,Maine,34,Hartford,60,63,-3
68,Drexel,NA,Fairleigh Dickinson,85,68,17
NA,Youngstown St.,NA,Northern Ky.,64,79,-15
NA,Ole Miss,NA,Dayton,62,65,-3
22,Purdue,NA,Notre Dame,88,78,10
NA,South Alabama,NA,Alabama A&M,90,93,-3
NA,Our Lady of the Lake,NA,A&M-Corpus Christi,72,99,-27
NA,Rice,NA,Sam Houston St.,69,82,-13
NA,Portland,7,Oregon,41,80,-39
NA,ULM,NA,Southern Miss.,47,60,-13
NA,Chattanooga,NA,UAB,69,66,3
NA,Jacksonville,NA,Miami (FL),64,73,-9
NA,Furman,30,Winthrop,71,87,-16
NA,Campbell,NA,NC State,50,69,-19
NA,N.C. A&T,NA,Charlotte,72,76,-4
NA,Lee,NA,ETSU,53,62,-9
NA,UMBC,NA,Albany (NY),65,64,1
NA,Fairfield,NA,Niagara,61,81,-20
19,Baylor,NA,Kansas St.,100,69,31
NA,Delaware,NA,La Salle,61,71,-10
NA,Samford,NA,Kennesaw St.,65,63,2
NA,NJIT,NA,Temple,60,72,-12
46,UCLA,20,Ohio St.,70,77,-7
NA,Flagler,NA,North Florida,73,66,7
NA,Houston Baptist,8,Oklahoma,65,84,-19
NA,Saint Peter's,NA,Monmouth,78,76,2
NA,CSUN,NA,California,56,87,-31
NA,Coppin St.,28,Virginia Tech,57,97,-40
NA,Carver,NA,Stetson,51,95,-44
13,UC Santa Barbara,NA,Pepperdine,75,63,12
NA,Buffalo,63,Syracuse,96,107,-11
15,Eastern Wash.,NA,Northern Ariz.,80,64,16
NA,St. Katherine,NA,CSU Bakersfield,46,87,-41
NA,Arizona,NA,Stanford,75,78,-3
NA,San Diego,NA,UC Irvine,53,85,-32
67,Cleveland St.,NA,Purdue Fort Wayne,63,61,2
NA,Fresno Pacific,NA,Fresno St.,65,78,-13
NA,Oakland,NA,UIC,72,74,-2
NA,Ga. Southern,NA,FIU,103,99,4
50,Iona,NA,Rider,72,64,8
NA,Crowley's Ridge,NA,Tennessee St.,68,90,-22
NA,Miami (OH),NA,Bradley,68,69,-1
NA,McNeese,NA,Louisiana,65,75,-10
NA,Radford,NA,Vanderbilt,50,59,-9
NA,Colorado St.,NA,Saint Mary's (CA),33,53,-20
NA,Cincinnati,NA,Georgia,68,83,-15
NA,Northwestern St.,NA,Missouri St.,67,94,-27
NA,UCF,38,Florida St.,86,74,12
NA,Cal Poly,NA,LMU (CA),52,76,-24
NA,Bethesda (CA),NA,Dixie St.,69,90,-21
NA,Saint Joseph's,23,Villanova,68,88,-20
5,Creighton,41,UConn,76,74,2
53,Illinois,62,Rutgers,88,91,-3
NA,Olivet,NA,Central Mich.,66,127,-61
NA,Jackson St.,NA,Iowa St.,45,60,-15
NA,Milwaukee,NA,Green Bay,74,62,12
56,Oklahoma St.,37,Texas,74,77,-3
NA,Wright St.,NA,Detroit Mercy,85,72,13
NA,Maine,34,Hartford,50,65,-15
NA,Stony Brook,NA,Binghamton,80,70,10
33,Oral Roberts,21,Arkansas,76,87,-11
NA,UMBC,NA,Albany (NY),65,60,5
NA,Marquette,NA,Xavier,88,91,-3
NA,Marist,NA,Manhattan,72,67,5
NA,Northeastern,NA,Old Dominion,62,66,-4
NA,Robert Morris,NA,Marshall,71,85,-14
NA,Freed-Hardeman,NA,North Ala.,56,82,-26
NA,Youngstown St.,NA,Northern Ky.,70,60,10
NA,Chicago St.,12,Drake,67,111,-44
NA,Weber St.,NA,Portland St.,72,74,-2
NA,Champion Chris.,NA,Arkansas St.,50,90,-40
NA,Our Lady of the Lake,NA,UTSA,70,102,-32
NA,Alcorn,54,Houston,55,88,-33
NA,Providence,NA,Seton Hall,80,77,3
NA,Oakland,NA,UIC,73,90,-17
NA,Mt. Marty,NA,South Dakota,44,84,-40
67,Cleveland St.,NA,Purdue Fort Wayne,89,80,9
NA,Alice Lloyd,NA,James Madison,55,98,-43
NA,Air Force,NA,Nevada,68,66,2
NA,Delaware St.,61,Georgia Tech,69,97,-28
NA,Western Ill.,NA,UT Martin,81,63,18
NA,Benedictine Mesa,NA,UTEP,59,79,-20
47,Georgetown,NA,St. John's (NY),83,94,-11
NA,San Francisco,16,Grand Canyon,68,65,3
NA,Carver,NA,Ga. Southern,43,119,-76
45,Michigan St.,NA,Northwestern,65,79,-14
NA,Pacific,NA,Westmont,92,64,28
NA,Saint Louis,NA,Minnesota,82,90,-8
39,Colorado,NA,Washington,92,69,23
66,Morehead St.,59,Clemson,51,66,-15
NA,UNCW,NA,Campbell,78,59,19
NA,VMI,NA,George Mason,66,68,-2
NA,Wofford,NA,Texas A&M,52,70,-18
NA,Jacksonville,NA,Kansas St.,46,70,-24
NA,Bethesda (CA),NA,Southern Utah,57,96,-39
NA,Crowley's Ridge,NA,Lipscomb,60,97,-37
