 


  
  

NCAA Men's Basketball
Division IWon-Lost Percentage
Through Games 03/11/2020


"Rank","Name","W","L","Pct"
"181","Purdue","16","15","51.6"
"","Utah","16","15","51.6"
"","Norfolk St.","16","15","51.6"
"","Clemson","16","15","51.6"
"","Montana St.","16","15","51.6"
"","Alabama","16","15","51.6"
"187","Green Bay","17","16","51.5"
"","Northeastern","17","16","51.5"
"189","UIC","18","17","51.4"
"190","Lipscomb","16","16","50.0"
"","TCU","16","16","50.0"
"","Arkansas St.","16","16","50.0"
"","Gardner-Webb","16","16","50.0"
"","Georgia","16","16","50.0"
"","DePaul","16","16","50.0"
"","Eastern Mich.","16","16","50.0"
"","Texas Southern","16","16","50.0"
"","Southern Ill.","16","16","50.0"
"","Pepperdine","16","16","50.0"
"","Omaha","16","16","50.0"
"","Washington St.","16","16","50.0"
"","Virginia Tech","16","16","50.0"
"","Northwestern St.","15","15","50.0"
"","La Salle","15","15","50.0"
"","Quinnipiac","15","15","50.0"
"","New Hampshire","15","15","50.0"
"","Army West Point","15","15","50.0"
"","Alcorn","15","15","50.0"
"209","Eastern Ky.","16","17","48.5"
"","UMBC","16","17","48.5"
"","Coastal Caro.","16","17","48.5"
"","Pittsburgh","16","17","48.5"
"","Missouri St.","16","17","48.5"
"","Stetson","16","17","48.5"
"215","Miami (FL)","15","16","48.4"
"","Minnesota","15","16","48.4"
"","Campbell","15","16","48.4"
"","Morgan St.","15","16","48.4"
"","UNC Asheville","15","16","48.4"
"","Missouri","15","16","48.4"
"221","Seattle U","14","15","48.3"
"222","Rice","15","17","46.9"
"","CSUN","15","17","46.9"
"","Ole Miss","15","17","46.9"
"","McNeese","15","17","46.9"
"","Loyola Maryland","15","17","46.9"
"","Washington","15","17","46.9"
"","Jackson St.","15","17","46.9"
"","Georgetown","15","17","46.9"
"","Bryant","15","17","46.9"
"231","Navy","14","16","46.7"
"","UTRGV","14","16","46.7"
"233","North Dakota","15","18","45.5"
"","LIU Brooklyn","15","18","45.5"
"235","Massachusetts","14","17","45.2"
"","South Fla.","14","17","45.2"
"","Temple","14","17","45.2"
"238","Florida A&M","12","15","44.4"
"239","Hampton","15","19","44.1"
"240","California","14","18","43.8"
"","UT Arlington","14","18","43.8"
"","A&M-Corpus Christi","14","18","43.8"
"","Longwood","14","18","43.8"
"","UC Davis","14","18","43.8"
"","Albany (NY)","14","18","43.8"
"","Charleston So.","14","18","43.8"
"","Central Mich.","14","18","43.8"
"","Jacksonville","14","18","43.8"
"249","Grand Canyon","13","17","43.3"
"250","Louisiana","14","19","42.4"
"","Oakland","14","19","42.4"
"","Purdue Fort Wayne","14","19","42.4"
"","Drexel","14","19","42.4"
"","North Carolina","14","19","42.4"
"255","St. Francis Brooklyn","13","18","41.9"
"","Manhattan","13","18","41.9"
"","Wake Forest","13","18","41.9"
"258","Dartmouth","12","17","41.4"
"","Iona","12","17","41.4"
"260","Bucknell","14","20","41.2"
"261","Miami (OH)","13","19","40.6"
"","UTSA","13","19","40.6"
"","Old Dominion","13","19","40.6"
"","Morehead St.","13","19","40.6"
"","Boston College","13","19","40.6"
"","UMass Lowell","13","19","40.6"
"","Western Mich.","13","19","40.6"
"","Jacksonville St.","13","19","40.6"
"269","Tulane","12","18","40.0"
"270","USC Upstate","13","20","39.4"
"271","Milwaukee","12","19","38.7"
"","CSU Bakersfield","12","19","38.7"
"273","Elon","13","21","38.2"
"274","South Carolina St.","11","18","37.9"
"275","Weber St.","12","20","37.5"
"","Air Force","12","20","37.5"
"","George Washington","12","20","37.5"
"","Fairfield","12","20","37.5"
"","Canisius","12","20","37.5"
"","Niagara","12","20","37.5"
"","Iowa St.","12","20","37.5"
"282","Utah Valley","11","19","36.7"
"","Fairleigh Dickinson","11","19","36.7"
"","Fresno St.","11","19","36.7"
"285","East Carolina","11","20","35.5"
"","Cal St. Fullerton","11","20","35.5"
"","Coppin St.","11","20","35.5"
"288","Binghamton","10","19","34.5"
"289","LMU (CA)","11","21","34.4"
"","Vanderbilt","11","21","34.4"
"","Long Beach St.","11","21","34.4"
"","Lehigh","11","21","34.4"
"","Kansas St.","11","21","34.4"
"","Mt. St. Mary's","11","21","34.4"
"","Cleveland St.","11","21","34.4"
"296","Central Ark.","10","21","32.3"
"","Illinois St.","10","21","32.3"
"298","FGCU","10","22","31.3"
"","Presbyterian","10","22","31.3"
"","UNCW","10","22","31.3"
"301","La.-Monroe","9","20","31.0"
"","UT Martin","9","20","31.0"
"303","Samford","10","23","30.3"
"304","NJIT","9","21","30.0"
"","James Madison","9","21","30.0"
"","New Orleans","9","21","30.0"
"307","Troy","9","22","29.0"
"","Tennessee Tech","9","22","29.0"
"","Fordham","9","22","29.0"
"","Incarnate Word","9","22","29.0"
"","Maine","9","22","29.0"
"","Southern Miss.","9","22","29.0"
"313","San Diego","9","23","28.1"
"","High Point","9","23","28.1"
"","Evansville","9","23","28.1"
"","Portland","9","23","28.1"
"317","Wagner","8","21","27.6"
"318","Wyoming","9","24","27.3"
"","VMI","9","24","27.3"
"320","Alabama A&M","8","22","26.7"
"","Idaho St.","8","22","26.7"
"322","Cornell","7","20","25.9"
"323","Southeastern La.","8","23","25.8"
"","Northwestern","8","23","25.8"
"","Detroit Mercy","8","23","25.8"
"","SIUE","8","23","25.8"
"","Middle Tenn.","8","23","25.8"
"328","Idaho","8","24","25.0"
"","Alabama St.","8","24","25.0"
"330","Cal Poly","7","23","23.3"
"","Marist","7","23","23.3"
"332","Southeast Mo. St.","7","24","22.6"
"","Denver","7","24","22.6"
"","San Jose St.","7","24","22.6"
"335","IUPUI","7","25","21.9"
"","Nebraska","7","25","21.9"
"337","The Citadel","6","24","20.0"
"","Columbia","6","24","20.0"
"339","Western Ill.","5","21","19.2"
"340","Delaware St.","6","26","18.8"
"","Saint Joseph's","6","26","18.8"
"342","UMES","5","27","15.6"
"343","Houston Baptist","4","25","13.8"
"","Chicago St.","4","25","13.8"
"345","Ark.-Pine Bluff","4","26","13.3"
"346","Central Conn. St.","4","27","12.9"
"347","Howard","4","29","12.1"
"348","Mississippi Val.","3","27","10.0"
"349","Holy Cross","3","29","9.4"
"350","Kennesaw St.","1","28","3.4"
Reclassifying
"NR","California Baptist","21","10","67.7"
"NR","Merrimack","20","11","64.5"
"NR","North Ala.","13","17","43.3"

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/11/2020


"Rank","Name","GM","W-L","PTS","PPG"
"1","Gonzaga","33","31-2","2885","87.4"
"2","Duke","31","25-6","2558","82.5"
"3","Alabama","31","16-15","2542","82.0"
"4","Green Bay","33","17-16","2694","81.6"
"5","Winthrop","34","24-10","2765","81.3"
"6","Eastern Wash.","31","23-8","2509","80.9"
"7","Wright St.","32","25-7","2580","80.6"
"8","SFA","31","28-3","2499","80.6"
"9","LSU","31","21-10","2495","80.5"
"10","Oral Roberts","31","17-14","2485","80.2"
"11","Houston Baptist","29","4-25","2323","80.1"
"12","Dayton","31","29-2","2480","80.0"
"13","BYU","32","24-8","2548","79.6"
"14","Belmont","33","26-7","2627","79.6"
"15","South Dakota","32","20-12","2547","79.6"
"16","McNeese","32","15-17","2540","79.4"
"17","Western Caro.","31","19-12","2444","78.8"
"18","Portland St.","32","18-14","2518","78.7"
"19","Buffalo","32","20-12","2516","78.6"
"20","Creighton","31","24-7","2428","78.3"
"21","Central Mich.","32","14-18","2506","78.3"
"22","North Florida","33","21-12","2583","78.3"
"23","Georgia St.","32","19-13","2499","78.1"
"24","Auburn","31","25-6","2419","78.0"
"25","Coastal Caro.","33","16-17","2573","78.0"
"26","Sam Houston St.","31","18-13","2417","78.0"
"27","South Dakota St.","32","22-10","2493","77.9"
"28","Marquette","30","18-12","2333","77.8"
"29","Iowa","31","20-11","2410","77.7"
"30","Saint Francis (PA)","32","22-10","2485","77.7"
"31","Hampton","34","15-19","2635","77.5"
"32","Nevada","31","19-12","2389","77.1"
"33","Nicholls St.","31","21-10","2388","77.0"
"34","UTSA","32","13-19","2461","76.9"
"35","Furman","32","25-7","2457","76.8"
"36","FIU","32","19-13","2455","76.7"
"37","New Mexico","33","19-14","2531","76.7"
"38","Western Ky.","30","20-10","2297","76.6"
"39","Utah St.","34","26-8","2600","76.5"
"40","Arizona","32","21-11","2445","76.4"
"41","Hofstra","34","26-8","2596","76.4"
"42","Austin Peay","33","21-12","2519","76.3"
"43","Kent St.","32","20-12","2442","76.3"
"44","Yale","30","23-7","2289","76.3"
"45","Pepperdine","32","16-16","2441","76.3"
"46","ETSU","34","30-4","2593","76.3"
"47","Colgate","34","25-9","2588","76.1"
"48","CSUN","32","15-17","2435","76.1"
"49","Boise St.","32","20-12","2430","75.9"
"50","Marshall","32","17-15","2429","75.9"
"51","Michigan St.","31","22-9","2353","75.9"
"52","LIU Brooklyn","33","15-18","2504","75.9"
"53","Georgia","32","16-16","2428","75.9"
"54","Abilene Christian","31","20-11","2352","75.9"
"","Oregon","31","24-7","2352","75.9"
"56","Arkansas","32","20-12","2426","75.8"
"57","Akron","31","24-7","2348","75.7"
"58","Santa Clara","33","20-13","2498","75.7"
"59","UT Martin","29","9-20","2194","75.7"
"60","Ga. Southern","33","20-13","2494","75.6"
"61","Northwestern St.","30","15-15","2265","75.5"
"62","Colorado St.","32","20-12","2415","75.5"
"63","Murray St.","32","23-9","2413","75.4"
"64","New Orleans","30","9-21","2262","75.4"
"65","Florida St.","31","26-5","2336","75.4"
"66","Richmond","31","24-7","2335","75.3"
"67","Saint Mary's (CA)","34","26-8","2559","75.3"
"68","UNI","31","25-6","2330","75.2"
"69","Seattle U","29","14-15","2177","75.1"
"70","Penn St.","31","21-10","2327","75.1"
"71","Alcorn","30","15-15","2251","75.0"
"72","Michigan","31","19-12","2326","75.0"
"","UNC Asheville","31","15-16","2326","75.0"
"74","San Francisco","34","22-12","2546","74.9"
"75","North Dakota","33","15-18","2470","74.8"
"76","San Diego St.","32","30-2","2395","74.8"
"77","The Citadel","30","6-24","2244","74.8"
"78","North Dakota St.","33","25-8","2467","74.8"
"79","Central Ark.","31","10-21","2316","74.7"
"80","Seton Hall","30","21-9","2241","74.7"
"81","Eastern Ky.","33","16-17","2464","74.7"
"82","Georgetown","32","15-17","2389","74.7"
"83","Bethune-Cookman","30","16-14","2239","74.6"
"84","UMass Lowell","32","13-19","2388","74.6"
"","NC State","32","20-12","2388","74.6"
"86","St. John's (NY)","32","17-15","2387","74.6"
"87","Kansas","31","28-3","2312","74.6"
"88","Toledo","32","17-15","2386","74.6"
"89","Bowling Green","31","21-10","2310","74.5"
"90","Louisiana Tech","30","22-8","2235","74.5"
"91","Kentucky","31","25-6","2307","74.4"
"92","Western Ill.","26","5-21","1934","74.4"
"93","Syracuse","32","18-14","2378","74.3"
"94","Delaware","33","22-11","2452","74.3"
"95","Northern Colo.","31","22-9","2303","74.3"
"96","Eastern Ill.","32","17-15","2377","74.3"
"97","Notre Dame","32","20-12","2376","74.3"
"98","Samford","33","10-23","2448","74.2"
"99","UNC Greensboro","32","23-9","2372","74.1"
"100","Louisville","31","24-7","2296","74.1"
"101","UC Irvine","32","21-11","2367","74.0"
"102","Rice","32","15-17","2363","73.8"
"103","Arizona St.","31","20-11","2288","73.8"
"104","Penn","27","16-11","1991","73.7"
"105","Omaha","32","16-16","2352","73.5"
"106","Delaware St.","32","6-26","2350","73.4"
"107","Wake Forest","31","13-18","2276","73.4"
"108","Mississippi St.","31","20-11","2275","73.4"
"","South Carolina","31","18-13","2275","73.4"
"110","Loyola Maryland","32","15-17","2348","73.4"
"111","Sacred Heart","33","20-13","2420","73.3"
"","Rhode Island","30","21-9","2200","73.3"
"113","Little Rock","31","21-10","2270","73.2"
"114","Louisiana","33","14-19","2416","73.2"
"115","Villanova","31","24-7","2269","73.2"
"116","Texas St.","32","21-11","2339","73.1"
"117","Air Force","32","12-20","2338","73.1"
"118","Chattanooga","33","20-13","2410","73.0"
"119","Texas Southern","32","16-16","2335","73.0"
"120","UTRGV","30","14-16","2189","73.0"
"121","SMU","30","19-11","2188","72.9"
"122","Harvard","29","21-8","2114","72.9"
"123","UConn","31","19-12","2258","72.8"
"124","UC Davis","32","14-18","2330","72.8"
"125","Southern Utah","32","17-15","2329","72.8"
"126","Youngstown St.","33","18-15","2401","72.8"
"127","Davidson","30","16-14","2182","72.7"
"","Cincinnati","30","20-10","2182","72.7"
"129","Gardner-Webb","32","16-16","2318","72.4"
"130","Northern Ky.","32","23-9","2317","72.4"
"131","Houston","31","23-8","2241","72.3"
"132","Valparaiso","35","19-16","2530","72.3"
"133","Lamar University","32","17-15","2312","72.3"
"134","Fairleigh Dickinson","30","11-19","2167","72.2"
"","Siena","30","20-10","2167","72.2"
"136","Illinois","31","21-10","2239","72.2"
"137","N.C. A&T","32","17-15","2311","72.2"
"138","North Carolina","33","14-19","2381","72.2"
"139","VMI","33","9-24","2380","72.1"
"140","UNLV","32","17-15","2307","72.1"
"141","Wofford","35","19-16","2523","72.1"
"142","Ohio St.","31","21-10","2234","72.1"
"143","Iowa St.","32","12-20","2304","72.0"
"","Memphis","31","21-10","2232","72.0"
"145","Radford","32","21-11","2302","71.9"
"","Prairie View","32","19-13","2302","71.9"
"147","Texas Tech","31","18-13","2230","71.9"
"148","James Madison","30","9-21","2157","71.9"
"149","Florida","31","19-12","2228","71.9"
"150","Wichita St.","31","23-8","2227","71.8"
"151","Maryland","31","24-7","2226","71.8"
"152","Rider","30","18-12","2152","71.7"
"153","Vanderbilt","32","11-21","2295","71.7"
"154","Saint Louis","31","23-8","2223","71.7"
"155","Bradley","34","23-11","2438","71.7"
"156","Mercer","32","17-15","2294","71.7"
"","Jacksonville St.","32","13-19","2294","71.7"
"158","American","30","16-14","2149","71.6"
"159","Vermont","33","26-7","2361","71.5"
"160","Duquesne","30","21-9","2146","71.5"
"161","Princeton","27","14-13","1931","71.5"
"162","William & Mary","32","21-11","2288","71.5"
"163","Milwaukee","31","12-19","2216","71.5"
"164","Ohio","32","17-15","2286","71.4"
"","Indiana","32","20-12","2286","71.4"
"166","New Mexico St.","31","25-6","2214","71.4"
"","Providence","31","19-12","2214","71.4"
"168","Tennessee St.","33","18-15","2355","71.4"
"169","Monmouth","31","18-13","2209","71.3"
"","South Alabama","31","20-11","2209","71.3"
"171","Grambling","32","17-15","2280","71.3"
"172","Oregon St.","31","18-13","2207","71.2"
"","Miami (FL)","31","15-16","2207","71.2"
"174","Baylor","30","26-4","2134","71.1"
"175","Minnesota","31","15-16","2205","71.1"
"176","Northeastern","33","17-16","2347","71.1"
"177","Fla. Atlantic","32","17-15","2275","71.1"
"178","North Texas","31","20-11","2203","71.1"
"179","Bryant","32","15-17","2271","71.0"
"180","Utah","31","16-15","2199","70.9"
"181","Northern Ariz.","30","16-14","2128","70.9"
"","Army West Point","30","15-15","2128","70.9"
"183","Miami (OH)","32","13-19","2269","70.9"
"184","Boston U.","34","21-13","2410","70.9"
"185","Colorado","32","21-11","2268","70.9"
"186","UC Santa Barbara","31","21-10","2195","70.8"
"","Montana","31","18-13","2195","70.8"
"188","VCU","31","18-13","2193","70.7"
"","Middle Tenn.","31","8-23","2193","70.7"
"190","Arkansas St.","32","16-16","2262","70.7"
"","DePaul","32","16-16","2262","70.7"
"192","Xavier","32","19-13","2261","70.7"
"193","Missouri St.","33","16-17","2330","70.6"
"194","UT Arlington","32","14-18","2259","70.6"
"","Washington","32","15-17","2259","70.6"
"196","Towson","32","19-13","2258","70.6"
"197","Grand Canyon","30","13-17","2116","70.5"
"198","Norfolk St.","31","16-15","2186","70.5"
"199","IUPUI","32","7-25","2256","70.5"
"200","Lipscomb","32","16-16","2255","70.5"
"201","Morgan St.","31","15-16","2182","70.4"
"202","West Virginia","31","21-10","2179","70.3"
"","Southern California","31","22-9","2179","70.3"
"204","South Carolina St.","29","11-18","2037","70.2"
"205","Oklahoma","31","19-12","2177","70.2"
"206","Col. of Charleston","31","17-14","2176","70.2"
"207","Utah Valley","30","11-19","2105","70.2"
"208","Detroit Mercy","31","8-23","2175","70.2"
"209","Lafayette","31","19-12","2174","70.1"
"210","Iona","29","12-17","2030","70.0"
"211","Rutgers","31","20-11","2168","69.9"
"212","San Jose St.","31","7-24","2167","69.9"
"213","Howard","33","4-29","2306","69.9"
"214","St. Francis Brooklyn","31","13-18","2166","69.9"
"215","Nebraska","32","7-25","2235","69.8"
"","Washington St.","32","16-16","2235","69.8"
"217","UMKC","30","16-14","2094","69.8"
"218","Robert Morris","34","20-14","2373","69.8"
"219","N.C. Central","31","18-13","2162","69.7"
"220","Idaho St.","30","8-22","2091","69.7"
"221","Pacific","33","23-10","2300","69.7"
"222","Quinnipiac","30","15-15","2088","69.6"
"223","Southeastern La.","31","8-23","2157","69.6"
"224","Weber St.","32","12-20","2225","69.5"
"225","Ball St.","31","18-13","2155","69.5"
"226","Stanford","32","20-12","2223","69.5"
"227","UCLA","31","19-12","2153","69.5"
"228","Binghamton","29","10-19","2014","69.4"
"229","Drake","34","20-14","2359","69.4"
"230","Western Mich.","32","13-19","2220","69.4"
"231","USC Upstate","33","13-20","2286","69.3"
"232","Southern U.","31","17-15","2147","69.3"
"233","Stony Brook","33","20-13","2283","69.2"
"234","Fresno St.","30","11-19","2075","69.2"
"235","St. Bonaventure","31","19-12","2143","69.1"
"236","New Hampshire","30","15-15","2071","69.0"
"237","Ole Miss","32","15-17","2208","69.0"
"","Saint Joseph's","32","6-26","2208","69.0"
"","Morehead St.","32","13-19","2208","69.0"
"240","UIC","35","18-17","2412","68.9"
"241","UCF","30","16-14","2067","68.9"
"242","Denver","31","7-24","2135","68.9"
"243","Charleston So.","32","14-18","2203","68.8"
"244","Troy","31","9-22","2131","68.7"
"245","Elon","34","13-21","2337","68.7"
"246","Campbell","31","15-16","2130","68.7"
"247","Loyola Chicago","32","21-11","2198","68.7"
"248","Canisius","32","12-20","2196","68.6"
"249","Cal St. Fullerton","31","11-20","2127","68.6"
"250","Liberty","34","30-4","2332","68.6"
"251","Georgia Tech","31","17-14","2126","68.6"
"252","Hawaii","30","17-13","2057","68.6"
"253","Virginia Tech","32","16-16","2194","68.6"
"254","Butler","31","22-9","2125","68.5"
"255","Massachusetts","31","14-17","2124","68.5"
"256","Purdue Fort Wayne","33","14-19","2261","68.5"
"257","Indiana St.","30","18-12","2052","68.4"
"258","Appalachian St.","33","18-15","2256","68.4"
"259","Wagner","29","8-21","1982","68.3"
"260","UMBC","33","16-17","2255","68.3"
"","Tulane","30","12-18","2050","68.3"
"262","UNCW","32","10-22","2186","68.3"
"263","Drexel","33","14-19","2254","68.3"
"264","Temple","31","14-17","2117","68.3"
"265","Mississippi Val.","30","3-27","2048","68.3"
"266","Lehigh","32","11-21","2184","68.3"
"267","Purdue","31","16-15","2114","68.2"
"268","East Carolina","31","11-20","2111","68.1"
"269","Coppin St.","31","11-20","2109","68.0"
"","CSU Bakersfield","31","12-19","2109","68.0"
"271","La Salle","30","15-15","2040","68.0"
"272","Oakland","33","14-19","2239","67.8"
"273","Tulsa","31","21-10","2103","67.8"
"274","Bucknell","34","14-20","2299","67.6"
"275","Oklahoma St.","32","18-14","2163","67.6"
"276","Cal Poly","30","7-23","2027","67.6"
"277","Florida A&M","27","12-15","1824","67.6"
"278","UTEP","32","17-15","2157","67.4"
"","Long Beach St.","32","11-21","2157","67.4"
"280","Presbyterian","32","10-22","2155","67.3"
"281","Cornell","27","7-20","1818","67.3"
"282","UAB","32","19-13","2154","67.3"
"283","Jackson St.","32","15-17","2153","67.3"
"284","Wisconsin","31","21-10","2082","67.2"
"285","Evansville","32","9-23","2149","67.2"
"286","Missouri","31","15-16","2081","67.1"
"287","Longwood","32","14-18","2148","67.1"
"","George Mason","32","17-15","2148","67.1"
"289","Tennessee","31","17-14","2079","67.1"
"290","Brown","27","15-12","1809","67.0"
"291","SIUE","31","8-23","2073","66.9"
"292","Jacksonville","32","14-18","2139","66.8"
"293","Northern Ill.","31","18-13","2071","66.8"
"294","Hartford","33","18-15","2201","66.7"
"295","Montana St.","31","16-15","2066","66.6"
"296","Clemson","31","16-15","2062","66.5"
"297","Albany (NY)","32","14-18","2127","66.5"
"298","Portland","32","9-23","2126","66.4"
"299","Saint Peter's","30","18-12","1990","66.3"
"300","Charlotte","29","16-13","1922","66.3"
"301","Columbia","30","6-24","1988","66.3"
"302","Southeast Mo. St.","31","7-24","2054","66.3"
"303","Illinois St.","31","10-21","2050","66.1"
"","Incarnate Word","31","9-22","2050","66.1"
"305","Southern Miss.","31","9-22","2047","66.0"
"306","A&M-Corpus Christi","32","14-18","2112","66.0"
"307","High Point","32","9-23","2110","65.9"
"308","Holy Cross","32","3-29","2106","65.8"
"309","Niagara","32","12-20","2102","65.7"
"310","San Diego","32","9-23","2101","65.7"
"311","Tennessee Tech","31","9-22","2033","65.6"
"312","Old Dominion","32","13-19","2098","65.6"
"313","TCU","32","16-16","2093","65.4"
"314","Dartmouth","29","12-17","1894","65.3"
"315","Pittsburgh","33","16-17","2152","65.2"
"316","George Washington","32","12-20","2086","65.2"
"","Idaho","32","8-24","2086","65.2"
"318","Eastern Mich.","32","16-16","2078","64.9"
"319","Northwestern","31","8-23","2012","64.9"
"320","Boston College","32","13-19","2067","64.6"
"321","UC Riverside","32","17-15","2059","64.3"
"322","LMU (CA)","32","11-21","2057","64.3"
"323","Kansas St.","32","11-21","2054","64.2"
"324","Texas","31","19-12","1989","64.2"
"325","Mt. St. Mary's","32","11-21","2053","64.2"
